2.000000, 0.000006
3.000000, 0.000005
5.000000, 0.000005
6.000000, 0.000005
6.000000, 0.000006
6.000000, 0.000018
8.000000, 0.000007
11.000000, 0.000011
13.000000, 0.000013
19.386294, 0.000021
28.386294, 0.000017
34.386294, 0.000019
46.386294, 0.000024
58.386294, 0.000029
76.068426, 0.000041
90.227309, 0.000063
108.613603, 0.000053
267.252261, 0.000134
418.843730, 0.000195
649.867578, 0.000277
771.754986, 0.000347
1338.927556, 0.000543
1513.497686, 0.000640
1727.384889, 0.000706
2224.300929, 0.000834
6772.678602, 0.002258
13783.893174, 0.003950
35905.980537, 0.008967
39465.710970, 0.009961
50238.475796, 0.012564
81111.094266, 0.019458
105069.102586, 0.024374
118722.633535, 0.027773
266520.973780, 0.060408
521807.990149, 0.108917
626268.152944, 0.133177
729868.215932, 0.157705
873244.514434, 0.188603
921429.695707, 0.200924
1013588.146628, 0.221769
1098716.456026, 0.241763
1492634.531882, 0.316705
5595537.548789, 1.076335
8080506.900159, 1.595494
11338438.203688, 2.195611
16273160.371301, 3.099418
19883012.650411, 3.746849
25675199.257000, 4.832025
29277357.556864, 5.512529
39159546.530648, 7.266535
